inchikey,key14,smiles_std,compound_name,bbb_class,logbb,b3db_threshold,b3db_uncertainty_classification,b3db_uncertainty_regression,b3db_reference_classification,b3db_reference_regression,source_id_classification,source_id_regression,coconut_id_exact_match,coconut_ids_key14_match,coconut_matches_key14
NRPCWSUJMWEFOK-MNAPGUCWSA-N,NRPCWSUJMWEFOK,CCCCCN[C@]12C=CC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(C)[C@@H]2C5,,BBB+,,,C,,R24|,,b3db_classification:6213,,CNP0074622.1,CNP0074622.1,1
NRPCWSUJMWEFOK-UHFFFAOYSA-N,NRPCWSUJMWEFOK,CCCCCNC12C=CC(=O)C3Oc4c(O)ccc5c4C31CCN(C)C2C5,pentamorphone,BBB+,,-1.0,B,,R13|R19|R27|,,b3db_classification:3017,,CNP0074622.1,CNP0074622.1,1
NRUKOCRGYNPUPR-CRZAWEBOSA-N,NRUKOCRGYNPUPR,COc1cc([C@@H]2c3cc4c(cc3[C@@H](OC3OC5COC(c6cccs6)OC5C(O)C3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,teniposide,BBB+,,-1.0,B,,R1|R27|R30|,,b3db_classification:2028,,CNP0311818.1,CNP0311818.1|CNP0311818.2|CNP0311818.3|CNP0311818.4,4
NRUKOCRGYNPUPR-MKYQZMQASA-N,NRUKOCRGYNPUPR,COc1cc([C@H]2c3cc4c(cc3[C@@H](O[C@H]3O[C@H]5CO[C@H](c6cccs6)O[C@H]5[C@@H](O)[C@@H]3O)[C@@H]3COC(=O)[C@@H]23)OCO4)cc(OC)c1O,,BBB+,,-1.0,B,,R13|,,b3db_classification:3407,,CNP0311818.1,CNP0311818.1|CNP0311818.2|CNP0311818.3|CNP0311818.4,4
NRUKOCRGYNPUPR-QBPJDGROSA-N,NRUKOCRGYNPUPR,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,teniposide,BBB-,,,C,,R6|,,b3db_classification:4906,,CNP0311818.1,CNP0311818.1|CNP0311818.2|CNP0311818.3|CNP0311818.4,4
NRWFZRWONAGBGB-UHFFFAOYSA-N,NRWFZRWONAGBGB,CN(C)Cc1ccc(CSCCNc2[nH]ccc2Cc2ccccc2)o1,b-057,BBB+,-0.73,,A,B,R18|R26|R27|,R18|R26|R27|,b3db_classification:198,b3db_regression:370,,,0
NRZRBQBMQJRHDR-NSHDSACASA-N,NRZRBQBMQJRHDR,C[C@@H](CC(=O)N1CCc2[nH]ncc2C1)N1CCOCC1,polythiazide,BBB-,,-1.0,B,,R16|R10|R10|,,b3db_classification:4021,,,,0
NSDBYEZZBVVWBA-RISCZKNCSA-N,NSDBYEZZBVVWBA,O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSC3=NCNN3)CS[C@@H]12,,BBB-,,,C,,R24|,,b3db_classification:6733,,,,0
NSEGJSYCSNIOHK-NSHDSACASA-N,NSEGJSYCSNIOHK,COC(=O)C[C@@H](c1ccccc1)c1c(O)c(C(=O)OC)c[nH]c1=O,meloxicam,BBB-,,-1.0,B,,R16|R10|,,b3db_classification:3914,,,CNP0382354.0,1
NSYZCCDSJNWWJL-JXKMNKPLSA-N,NSYZCCDSJNWWJL,CCOC(=O)CCC(=O)O[C@@H]1[C@H](O[C@H]2[C@H](C)[C@@H](O[C@H]3C[C@@](C)(OC)[C@H](O)[C@H](C)O3)[C@H](C)C(=O)O[C@@H](CC)[C@@](C)(O)[C@H](O)[C@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@@H](C)C[C@H]1N(C)C,erythromycin-ethylsuccinate,BBB-,,,C,,R27|R30|,,b3db_classification:7171,,CNP0340478.1,CNP0340478.1|CNP0340478.2,2
NSYZCCDSJNWWJL-QBKCRATOSA-N,NSYZCCDSJNWWJL,CCOC(=O)CCC(=O)O[C@@H]1[C@H](O[C@H]2[C@@H](C)[C@H](O[C@@H]3CC(C)(OC)[C@@H](O)[C@H](C)O3)[C@H](C)C(=O)O[C@@H](CC)C(C)(O)[C@@H](O)[C@H](C)C(=O)[C@@H](C)CC2(C)O)O[C@@H](C)C[C@@H]1N(C)C,,BBB-,,-1.0,B,,R13|,,b3db_classification:3094,,CNP0340478.1,CNP0340478.1|CNP0340478.2,2
NSYZCCDSJNWWJL-RSIJSKADSA-N,NSYZCCDSJNWWJL,CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@H](C)[C@H](O[C@@H]3C[C@](C)(OC)[C@H](O)[C@@H](C)O3)[C@@H](C)C(=O)O[C@@H](CC)[C@](C)(O)[C@@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C,,BBB-,,,C,,R24|,,b3db_classification:6263,,CNP0340478.1,CNP0340478.1|CNP0340478.2,2
NSYZCCDSJNWWJL-UHFFFAOYSA-N,NSYZCCDSJNWWJL,CCOC(=O)CCC(=O)OC1C(OC2C(C)C(OC3CC(C)(OC)C(O)C(C)O3)C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)C(=O)C(C)CC2(C)O)OC(C)CC1N(C)C,erythromycin-ethylsuccinate,BBB-,,-1.0,B,,R19|R27|,,b3db_classification:4418,,CNP0340478.1,CNP0340478.1|CNP0340478.2,2
NSYZCCDSJNWWJL-YXOIYICCSA-N,NSYZCCDSJNWWJL,CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C,erythromycin-ethylsuccinate,BBB-,,,C,,R6|,,b3db_classification:4818,,CNP0340478.1,CNP0340478.1|CNP0340478.2,2
NSZFBGIRFCHKOE-LFZVSNMSSA-N,NSZFBGIRFCHKOE,CCC1(CC)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,amcinafal,BBB+,,,C,,R6|,,b3db_classification:4793,,,,0
NSZFBGIRFCHKOE-LNPSEULZSA-N,NSZFBGIRFCHKOE,CCC1(CC)O[C@@H]2C[C@H]3C4CCC5=CC(=O)C=CC5(C)[C@@]4(F)[C@@H](O)CC3(C)[C@]2(C(=O)CO)O1,amcinafal,BBB+,,-1.0,B,,R1|R27|R30|,,b3db_classification:1475,,,,0
NSZFBGIRFCHKOE-OHIUJKOOSA-N,NSZFBGIRFCHKOE,CCC1(CC)O[C@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,,BBB+,,-1.0,B,,R13|,,b3db_classification:2979,,,,0
NSZFBGIRFCHKOE-PGYITWLOSA-N,NSZFBGIRFCHKOE,CCC1(CC)O[C@H]2C[C@@H]3[C@H]4CCC5=CC(=O)C=C[C@@]5(C)[C@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(C(=O)CO)O1,,BBB+,,,C,,R24|,,b3db_classification:6191,,,,0
NSZFBGIRFCHKOE-UHFFFAOYSA-N,NSZFBGIRFCHKOE,CCC1(CC)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,3924-70-7,BBB+,,-1.0,B,,R19|R27|,,b3db_classification:4357,,,,0
NSZFBGIRFCHKOE-YBEUNEJZSA-N,NSZFBGIRFCHKOE,CCC1(CC)O[C@H]2C[C@H]3[C@H]4CCC5=CC(=O)C=C[C@@]5(C)[C@@]4(F)[C@H](O)C[C@@]3(C)[C@]2(C(=O)CO)O1,amcinafal,BBB+,,,C,,R27|R30|,,b3db_classification:7074,,,,0
NTHXOOBQLCIOLC-DCAQKATOSA-N,NTHXOOBQLCIOLC,CC(=O)N(C[C@H](O)CO)c1c(I)c(C(=O)NC[C@H](O)CO)c(I)c(C(=O)NC[C@H](O)CO)c1I,schembl37920,BBB-,,,C,,R27|,,b3db_classification:6880,,CNP0459136.0,CNP0459136.0,1
NTHXOOBQLCIOLC-UHFFFAOYSA-N,NTHXOOBQLCIOLC,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,iohexol,BBB-,,,C,,R14|,,b3db_classification:5086,,CNP0459136.0,CNP0459136.0,1
NTJOBXMMWNYJFB-LBPRGKRZSA-N,NTJOBXMMWNYJFB,CCN1CCC[C@H]1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,amisulpride,BBB+,,-1.0,B,,R13|R24|R27|R30|,,b3db_classification:3080,,CNP0267860.0,CNP0267860.0,1
NTJOBXMMWNYJFB-UHFFFAOYSA-N,NTJOBXMMWNYJFB,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,amisulpride,BBB+,,-1.0,B,,R1|R19|R6|R14|R23|R27|R27|R30|R34|R37|,,b3db_classification:1612,,CNP0267860.0,CNP0267860.0,1
NTNHYNXHZGEEOM-LBPRGKRZSA-N,NTNHYNXHZGEEOM,CC[C@H](C)N1CCN(c2ccc(I)cc2)CC1,,BBB+,,-1.0,B,,R13|,,b3db_classification:3135,,,,0
NTNHYNXHZGEEOM-UHFFFAOYSA-N,NTNHYNXHZGEEOM,CCC(C)N1CCN(c2ccc(I)cc2)CC1,1-isobutyl-4-(4-iodophenyl)piperazine,BBB+,1.38,,A,B,R2|R2|R3|R27|R38|R41|R43|R47|R40|,R2|R2|R3|R27|R38|R41|R43|R47|R40|,b3db_classification:1042,b3db_regression:896,,,0
NTYJJOPFIAHURM-UHFFFAOYSA-N,NTYJJOPFIAHURM,NCCc1cnc[nH]1,histamine phosphate,BBB-,,,C,,R23|,,b3db_classification:5904,,CNP0244923.0|CNP0591741.0,CNP0244923.0|CNP0591741.0,2
NTYKIFFNZLTOFT-UHFFFAOYSA-N,NTYKIFFNZLTOFT,O=C(Nc1ccc(O)cc1)C(Cl)(Cl)Cl,triclacetamol,BBB+,,-1.0,B,,R1|R13|R19|R6|R24|R27|R27|R27|R30|R30|,,b3db_classification:2407,,,,0
NTYYDJWPKCQQIB-UHFFFAOYSA-N,NTYYDJWPKCQQIB,CCCCCCCCC1(CC)C(=O)NC(=O)NC1=O,5-octyl-5-ethyl barbituric acid,BBB+,0.24,,A,B,R2|R2|R8|R27|R21|R27|R43|R46|R47|R40|R3|R38|R25|R41|,R2|R2|R8|R27|R21|R27|R43|R46|R47|R40|R3|R38|R25|R41|,b3db_classification:689,b3db_regression:677,,,0
NUBHEBBYQNIHIF-IPMKNSEASA-N,NUBHEBBYQNIHIF,COc1ccc([C@H]2[C@@H](S(=O)(=O)c3ccc(C)cc3)[C@]2(C#N)C=O)cc1,methylphenidate,BBB+,,-1.0,B,,R16|R10|R10|,,b3db_classification:3984,,,,0
NUBMPIKHQPKNNS-UHFFFAOYSA-N,NUBMPIKHQPKNNS,OC(Br)(Br)CBr,"1,1,2-tribromoethanol",BBB+,,-1.0,B,,R1|R13|R27|R30|,,b3db_classification:2513,,,,0
NUKYPUAOHBNCPY-UHFFFAOYSA-N,NUKYPUAOHBNCPY,Nc1ccncc1,4-aminopyridine,BBB+,,,C,,R23|,,b3db_classification:5911,,CNP0283346.0|CNP0484010.0|CNP0584651.0,CNP0283346.0|CNP0484010.0|CNP0584651.0,3
NUMQCACRALPSHD-UHFFFAOYSA-N,NUMQCACRALPSHD,CCOC(C)(C)C,ethyl t-butyl ether,BBB+,0.22,,A,B,R2|R2|R3|R8|R21|R25|R27|R27|R38|R40|R41|R43|R46|R47|,R2|R2|R3|R8|R21|R25|R27|R27|R38|R40|R41|R43|R46|R47|,b3db_classification:677,b3db_regression:669,CNP0285210.0,CNP0285210.0,1
NUNIWXHYABYXKF-KRWDZBQOSA-N,NUNIWXHYABYXKF,CN(C)CCO[C@@H](c1ccccc1)c1ccc(Br)cc1,bromodiphenhydramine (bromazine),BBB+,,-1.0,B,,R13|R24|R27|R30|,,b3db_classification:3161,,CNP0506830.0,CNP0506830.0,1
NUNIWXHYABYXKF-UHFFFAOYSA-N,NUNIWXHYABYXKF,CN(C)CCOC(c1ccccc1)c1ccc(Br)cc1,bromodiphenhydramine,BBB+,,-1.0,B,,R1|R19|R6|R14|R23|R27|R27|R30|,,b3db_classification:1767,,CNP0506830.0,CNP0506830.0,1
NUVFVGKJFZEAQZ-OGBFJMLUSA-N,NUVFVGKJFZEAQZ,COc1ccc([C@@H]2CC(=O)Oc3ccc4c(c32)O/C(=C/c2cc(OC)c(OC)cc2OC)C4=O)cc1,chlorambucil,BBB-,,-1.0,B,,R16|R16|R10|R10|,,b3db_classification:3969,,,CNP0135308.1,1
NUZWLKWWNNJHPT-UHFFFAOYSA-N,NUZWLKWWNNJHPT,O=C1c2c(O)cccc2Cc2cccc(O)c21,anthralin,BBB-,,,C,,R15|,,b3db_classification:5554,,CNP0263759.0,CNP0263759.0,1
NVDBBGBUTKLRSN-UHFFFAOYSA-N,NVDBBGBUTKLRSN,O=c1[nH]c2ccccc2n1C1CCN(CCOc2ccccc2)CC1,oxiperomide,BBB+,,-1.0,B,,R1|R13|R19|R6|R24|R27|R27|R27|R30|R30|,,b3db_classification:2506,,,,0
NVGSGVPITDYAJO-NSHDSACASA-N,NVGSGVPITDYAJO,Cc1ccc([C@H](C)NC(=O)Cc2ccsc2)nc1,didanosine,BBB-,,-1.0,B,,R16|R10|,,b3db_classification:4054,,,,0
NVICLYRRYMGNRW-QGZVFWFLSA-N,NVICLYRRYMGNRW,CCOc1ccc(CCCNC(=O)[C@@H](C)SCc2ccccc2)cc1,colchicine,BBB-,,-1.0,B,,R16|R10|,,b3db_classification:3864,,,,0
NVJBOLMRGMDGLD-UHFFFAOYSA-N,NVJBOLMRGMDGLD,CNCCCN1c2ccccc2CCc2cc(O)ccc21,1977-15-7,BBB+,0.53,,A,B,R2|R2|R8|R27|R40|R21|R25|R27|R43|R46|R47|R4|R21|R27|,R2|R2|R8|R27|R40|R21|R25|R27|R43|R46|R47|R4|R21|R27|,b3db_classification:832,b3db_regression:770,,,0
NVJIWSAAQZDGRO-WOPDTQHZSA-N,NVJIWSAAQZDGRO,CCS(=O)(=O)[C@H]1[C@H](CO)[C@@H]1c1ccc(Cl)cc1,pimozide,BBB+,,-1.0,B,,R16|R10|R10|,,b3db_classification:3873,,,,0
NVOYVOBDTVTBDX-FJNJRZFCSA-N,NVOYVOBDTVTBDX,CC[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@H]12,,BBB-,,,C,,R27|,,b3db_classification:7245,,,CNP0513234.1,1
NVXPZMLRGBVYQV-UHFFFAOYSA-N,NVXPZMLRGBVYQV,CNC1CCC(c2ccccc2)c2ccccc21,schembl1237910,BBB+,,-1.0,B,,R1|R19|R27|R27|R30|,,b3db_classification:1907,,,,0
NVXPZMLRGBVYQV-WMLDXEAASA-N,NVXPZMLRGBVYQV,CN[C@@H]1CC[C@@H](c2ccccc2)c2ccccc21,tametraline,BBB+,,,C,,R6|R24|,,b3db_classification:4860,,,,0
NVXPZMLRGBVYQV-YOEHRIQHSA-N,NVXPZMLRGBVYQV,CN[C@H]1CC[C@@H](c2ccccc2)c2ccccc21,tametraline,BBB+,,-1.0,B,,R13|R27|R30|,,b3db_classification:3295,,,,0
NWFXVIODKCPIRN-TVQRCGJNSA-N,NWFXVIODKCPIRN,C=CC[C@@]1([C@@H](C)CCC)C(=C)NC(O)=NC1=O,,BBB+,,,C,,R27|,,b3db_classification:6864,,,,0
NWGGKKGAFZIVBJ-UHFFFAOYSA-N,NWGGKKGAFZIVBJ,O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12,antrafenine,BBB-,,,C,,R23|,,b3db_classification:5940,,,,0
NWIBSHFKIJFRCO-CDOIZDJWSA-N,NWIBSHFKIJFRCO,CO[C@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,lsm-5621,BBB-,,,C,,R24|,,b3db_classification:6510,,CNP0532166.1|CNP0532166.4,CNP0532166.1|CNP0532166.2|CNP0532166.3|CNP0532166.4|CNP0532166.5,5
NWIBSHFKIJFRCO-JLWZXFIFSA-N,NWIBSHFKIJFRCO,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,,BBB-,,-1.0,B,,R13|,,b3db_classification:3362,,CNP0532166.1|CNP0532166.4,CNP0532166.1|CNP0532166.2|CNP0532166.3|CNP0532166.4|CNP0532166.5,5
NWIBSHFKIJFRCO-JZQLQECVSA-N,NWIBSHFKIJFRCO,CO[C@@]12[C@@H]3N[C@@H]3CN1C1=C(C(=O)C(N)=C(C)C1=O)[C@@H]2COC(N)=O,mitomycine,BBB-,,,C,,R6|,,b3db_classification:4905,,CNP0532166.1|CNP0532166.4,CNP0532166.1|CNP0532166.2|CNP0532166.3|CNP0532166.4|CNP0532166.5,5
NWIBSHFKIJFRCO-KKWSFQORSA-N,NWIBSHFKIJFRCO,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@H]1N[C@H]12,schembl10844792,BBB-,,,C,,R27|R30|,,b3db_classification:7389,,CNP0532166.1|CNP0532166.4,CNP0532166.1|CNP0532166.2|CNP0532166.3|CNP0532166.4|CNP0532166.5,5
NWIBSHFKIJFRCO-UHFFFAOYSA-N,NWIBSHFKIJFRCO,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,mitomycin,BBB-,,-1.0,B,,R19|R23|R27|,,b3db_classification:4509,,CNP0532166.1|CNP0532166.4,CNP0532166.1|CNP0532166.2|CNP0532166.3|CNP0532166.4|CNP0532166.5,5
NWIBSHFKIJFRCO-WUDYKRTCSA-N,NWIBSHFKIJFRCO,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,mitomycin,BBB-,,-1.0,B,,R1|R15|R27|R30|,,b3db_classification:2008,,CNP0532166.1|CNP0532166.4,CNP0532166.1|CNP0532166.2|CNP0532166.3|CNP0532166.4|CNP0532166.5,5
NWINIMXDTPZGDL-LBPRGKRZSA-N,NWINIMXDTPZGDL,C1=Cc2c(cccc2OC[C@@H]2CNCCO2)C1,(2s)-2-(1h-inden-4-yloxymethyl)morpholine,BBB+,,-1.0,B,,R13|,,b3db_classification:2643,,,,0
NWIUTZDMDHAVTP-KRWDZBQOSA-N,NWIUTZDMDHAVTP,CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1,levobetaxolol,BBB+,,-1.0,B,,R13|R27|,,b3db_classification:2820,,,CNP0196238.1,1
NWIUTZDMDHAVTP-UHFFFAOYSA-N,NWIUTZDMDHAVTP,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,betaxolol,BBB+,0.39,,A,B,R2|R2|R8|R27|R40|R21|R25|R27|R42|R43|R46|R47|R4|,R2|R2|R8|R27|R40|R21|R25|R27|R42|R43|R46|R47|R4|,b3db_classification:762,b3db_regression:728,,CNP0196238.1,1
NWJQIUPQBDVVLW-BUBSKVBQSA-N,NWJQIUPQBDVVLW,CSC(=O)[C@]1(OC(C)=O)[C@@H](C)C[C@@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@]3(F)[C@@H](O)C[C@]21C,,BBB+,,,C,,R24|,,b3db_classification:6553,,,,0
NWJQIUPQBDVVLW-HQUGXTOLSA-N,NWJQIUPQBDVVLW,CSC(=O)C1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,,BBB+,,-1.0,B,,R13|,,b3db_classification:3483,,,,0
NWJQIUPQBDVVLW-IIFCYFSQSA-N,NWJQIUPQBDVVLW,CSC(=O)[C@@]1(OC(C)=O)[C@H](C)C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@]3(F)[C@H](O)C[C@]21C,timobesone-acetate,BBB+,,,C,,R27|R30|,,b3db_classification:7457,,,,0
NWJQIUPQBDVVLW-LWKYSAPBSA-N,NWJQIUPQBDVVLW,CSC(=O)C1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3(F)[C@@H](O)C[C@@]21C,dtxsid201000603,BBB+,,-1.0,B,,R1|R27|R30|,,b3db_classification:2091,,,,0
NWJQIUPQBDVVLW-QZIXMDIESA-N,NWJQIUPQBDVVLW,CSC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,timobesone-acetate,BBB+,,,C,,R6|,,b3db_classification:4919,,,,0
NWJQIUPQBDVVLW-UHFFFAOYSA-N,NWJQIUPQBDVVLW,CSC(=O)C1(OC(C)=O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,timobesone-acetate,BBB+,,-1.0,B,,R19|R27|,,b3db_classification:4581,,,,0
NWPJLRSCSQHPJV-UHFFFAOYSA-N,NWPJLRSCSQHPJV,NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccccc32)CC1,carpipramine,BBB+,,-1.0,B,,R1|R13|R19|R6|R14|R23|R24|R27|R27|R27|R30|R30|,,b3db_classification:2282,,,,0
NWVVVBRKAWDGAB-UHFFFAOYSA-N,NWVVVBRKAWDGAB,COc1ccc(O)cc1,mequinol,BBB-,,,C,,R23|,,b3db_classification:5818,,CNP0236213.0,CNP0236213.0,1
NWXMGUDVXFXRIG-GSQTYQLISA-N,NWXMGUDVXFXRIG,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)[C@H]3C[C@@H]12,,BBB-,,-1.0,B,,R13|,,b3db_classification:3184,,CNP0326169.1|CNP0326169.2,CNP0326169.1|CNP0326169.2,2
NWXMGUDVXFXRIG-PMXORCKASA-N,NWXMGUDVXFXRIG,CN(C)[C@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,epitetracycline,BBB-,,,C,,R27|R30|,,b3db_classification:7266,,CNP0326169.1|CNP0326169.2,CNP0326169.1|CNP0326169.2,2
NWXMGUDVXFXRIG-UHFFFAOYSA-N,NWXMGUDVXFXRIG,CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,tetracycline hydrochloride,BBB-,,-1.0,B,,R19|R14|R23|R27|R36|,,b3db_classification:4447,,CNP0326169.1|CNP0326169.2,CNP0326169.1|CNP0326169.2,2
NWXMGUDVXFXRIG-VOXZOARGSA-N,NWXMGUDVXFXRIG,CN(C)[C@H]1C(=O)C(C(N)=O)=C(O)[C@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@](C)(O)[C@@H]3C[C@H]12,zinc575338663,BBB-,,,C,,R24|,,b3db_classification:6367,,CNP0326169.1|CNP0326169.2,CNP0326169.1|CNP0326169.2,2
NWXMGUDVXFXRIG-WESIUVDSSA-N,NWXMGUDVXFXRIG,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,tetracycline,BBB-,,-1.0,B,,R1|R6|R15|R27|R30|,,b3db_classification:1788,,CNP0326169.1|CNP0326169.2,CNP0326169.1|CNP0326169.2,2
NXCQWJVQBOUELO-WLZGWGBXSA-N,NXCQWJVQBOUELO,C#C[C@@]1(O)CC[C@@H]2[C@@H]3CC[C@@H]4CC(=O)CCC4=C3[C@H](c3ccc(N(C)C)cc3)C[C@@]21C,,BBB+,,,C,,R27|,,b3db_classification:6829,,,,0
NXFQHRVNIOXGAQ-OQFOIZHKSA-N,NXFQHRVNIOXGAQ,O=C1CN(/N=C\c2ccc([N+](=O)[O-])o2)C(=O)N1,67-20-9,BBB+,,,C,,R27|,,b3db_classification:7675,,CNP0560626.1|CNP0592639.1,CNP0560626.1|CNP0592639.1,2
NXFQHRVNIOXGAQ-UHFFFAOYSA-N,NXFQHRVNIOXGAQ,O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,67-20-9,BBB-,,,C,,R14|,,b3db_classification:5412,,CNP0560626.1|CNP0592639.1,CNP0560626.1|CNP0592639.1,2
NXFQHRVNIOXGAQ-YCRREMRBSA-N,NXFQHRVNIOXGAQ,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,nitrofurantoin,BBB-,-2.09,,A,B,R2|R2|R25|R46|,R2|R2|R25|R46|,b3db_classification:8,b3db_regression:248,CNP0560626.1|CNP0592639.1,CNP0560626.1|CNP0592639.1,2
NXJWVCHVPUCWJS-UHFFFAOYSA-N,NXJWVCHVPUCWJS,CCOC(=O)N1CCC(=O)N(c2ccccc2)c2cc(Cl)ccc21,arfendazam,BBB+,,-1.0,B,,R1|R13|R19|R6|R24|R27|R27|R27|R30|R30|,,b3db_classification:1638,,,,0
NXMZBNYLCVTRGB-UHFFFAOYSA-N,NXMZBNYLCVTRGB,CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(C)(=O)=O)cc2)cc1,gw406381,BBB+,0.18,,A,B,R18|R26|R27|,R18|R26|R27|,b3db_classification:653,b3db_regression:657,CNP0521433.0,CNP0521433.0,1
NXQMNKUGGYNLBY-LBPRGKRZSA-N,NXQMNKUGGYNLBY,Cc1cccc(OC[C@@H](O)CNC(C)C)c1,chembl252319,BBB+,,-1.0,B,,R13|,,b3db_classification:3607,,,,0
NXQMNKUGGYNLBY-UHFFFAOYSA-N,NXQMNKUGGYNLBY,Cc1cccc(OCC(O)CNC(C)C)c1,toliprolol,BBB+,0.28,,A,D,R3|R18|R26|R27|R25|R38|R41|R46|R40|R27|R2|R2|R8|R21|R27|R43|R3|R47|,R3|R18|R26|R27|R25|R38|R41|R46|R40|R27|R2|R2|R8|R21|R27|R43|R3|R47|,b3db_classification:702,b3db_regression:1005,,,0
NYINOACZUYPYHI-UHFFFAOYSA-N,NYINOACZUYPYHI,CC1CCNC2C1NC(=O)C1CCCNC1N2C1CC1,"2-cyclopropyl-7-methyl-2,4,9,15-tetrazatricyclo[9.4.0.03,8]pentadecan-10-one",BBB+,,-1.0,B,,R13|,,b3db_classification:2945,,,,0
NYISTOZKVCMVEL-UHFFFAOYSA-N,NYISTOZKVCMVEL,COCC(=O)N(c1ccccc1F)C1CCN(CCc2ccccc2)CC1,ocfentanil,BBB+,,-1.0,B,,R1|R13|R19|R6|R24|R27|R27|R27|R30|R30|,,b3db_classification:1984,,,,0
NYKCGQQJNVPOLU-JAXLGGSGSA-N,NYKCGQQJNVPOLU,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@H]1CC[C@]2(CCCO2)C[C@@H]1N1CCCC1,schembl6624015,BBB+,,,C,,R24|,,b3db_classification:6338,,CNP0349885.2,CNP0349885.2,1
